age,gender,income,credit_score,loan_amount,loan_approval
26-35,Male,28454.714803152183,597.8438276781292,8160.669546717815,0
60+,Male,,641.9977712846932,9758.171125627587,1
36-45,Female,72722.74350686847,768.4146461505492,5851.999984066396,1
36-45,Male,33291.69804229681,690.7010664839444,6559.031737303777,1
26-35,Female,104434.68725025134,519.7396761827861,18911.047188590586,1
26-35,Male,57782.41990969615,508.4391810918022,14843.128333035245,0
18-25,Female,62492.22024972194,644.8551639904604,19796.67366935434,0
46-60,Female,52094.44062511442,552.9807508100156,15854.545361035713,0
36-45,Male,88117.27875151238,701.8837398106398,23469.826136597472,1
36-45,Male,88572.78690641241,653.3810451971983,26972.44851220346,1
18-25,Male,70793.83332479268,663.2307815219091,3316.372035785559,0
60+,Female,79411.18870231409,593.4605454686117,6744.96972194274,1
46-60,Female,53849.864430385955,789.3106924229364,11102.207417915351,1
26-35,Female,78519.43898163945,850.0,13119.53972058408,1
26-35,Male,50567.33595099524,627.7132220994628,7815.994897896275,0
26-35,Male,59940.987232550106,678.2431398732001,27711.94805192283,1
26-35,Male,52191.66701068005,657.793387445145,65118.15673650629,0
36-45,Male,47638.22338847022,629.2250509247145,15505.181920159868,0
26-35,Female,42422.92169413851,583.4343625813763,14292.251635960649,0
26-35,Female,75647.90699868793,563.2025610015619,26358.998746726862,0
36-45,Female,115301.18184830385,559.152218757958,3002.883269214128,1
26-35,Male,107532.77736911834,682.4192020439316,13667.487994221441,1
26-35,Female,31943.287122785856,608.4260417437092,29238.121288318696,0
26-35,Female,114073.8729340538,443.7365719887576,7986.251679688705,0
26-35,Female,51068.37750885885,685.5886576478658,5007.7977975610165,1
36-45,Female,80851.26471147755,646.9390974028676,11514.420806213928,1
26-35,Male,38058.979744060234,757.7338401120917,12726.626511892855,1
36-45,Male,64279.108898036095,679.8497917672807,6458.020815132452,0
36-45,Female,70042.78800109644,531.7061122951762,71462.56469278195,0
18-25,Male,28501.08979766337,471.6258687416015,9109.224816982705,0
36-45,Male,81156.41193341312,592.442209252965,5308.542098722498,1
26-35,Female,,599.9914063445078,12395.6755493076,1
18-25,Female,54867.475879274156,725.4527360800133,27619.80895865327,0
46-60,Female,118194.17069230438,649.2903254168341,13547.14901264253,0
60+,Male,54456.26891234306,740.6950798478807,19701.994160713788,1
46-60,Male,91563.89060044315,544.0133555437892,6652.789534287503,1
26-35,Female,19746.173742916784,727.2211507504359,43921.127921341395,0
18-25,Female,200664.34978950777,707.6791322744735,20939.00197962421,1
36-45,Female,126466.04379540068,488.54127108550426,30889.18047413384,0
26-35,Female,51931.83373441229,755.8094273008618,17892.349638635198,1
26-35,Female,22336.01074620938,657.4766793413082,25845.89922917252,0
26-35,Female,69148.67558687122,681.3635603094805,6644.587897260955,0
18-25,Male,29086.726831150158,580.8083110057262,9017.042408389247,0
46-60,Female,74789.05044175079,752.0197610337577,39229.507166068965,0
26-35,Female,73554.57006476635,555.1318136608904,46527.25541530204,0
36-45,Female,37395.229264706824,716.5673614699157,5336.618652370136,0
26-35,Male,104870.70734830572,715.6485980726937,16314.16216898959,1
36-45,Female,89571.04169923195,572.0666057462222,9463.948458757168,0
36-45,Male,97529.64564277064,808.669887953806,7649.341345665836,1
26-35,Female,60139.90349293394,668.5222784174016,16778.80490825583,0
60+,Male,29502.726640351284,702.3114088216819,33281.94530470691,1
36-45,Female,97629.61278904352,527.8303363731395,19174.373992333523,0
46-60,Male,52303.27671746917,819.4184002406852,10346.359938441574,1
46-60,Male,29884.93924819935,552.0354447819929,20168.73564283718,1
36-45,Male,117714.75929756915,731.9909146212744,10016.80098946498,1
46-60,Female,171048.72907679508,570.4182625654644,18577.221164088292,1
18-25,Male,58651.94025789088,600.4808957721854,40830.007188161544,0
26-35,Male,176232.70307933466,713.1003235108358,2535.8198413572136,1
18-25,Female,62671.204597096235,732.2042170940126,25280.834015398035,0
26-35,Male,49502.1829664555,548.2972600708719,3900.0945005858603,1
26-35,Female,43685.467439648644,737.2377735245595,35691.29742472596,1
26-35,Female,135746.0587188912,733.5984396106555,8025.502092636868,1
46-60,Female,40535.28301166833,574.9637272924086,5043.536986238998,0
26-35,Male,86477.07725667322,777.8918074872888,23300.157091860485,1
26-35,Female,45270.82582470085,533.451389740157,17878.176364946587,1
36-45,Male,47564.72141604795,600.0181933777908,6006.8182476322145,0
26-35,Male,100220.18024293245,688.3202099273591,4902.988490780204,1
46-60,Male,49512.55619301343,581.7146972237915,11498.993744066313,0
18-25,Female,48903.40526159596,671.1055268543473,5098.646747438434,0
60+,Male,105493.26052597717,669.2860863042636,5714.840241877945,1
36-45,Female,133079.05732828393,635.0340584061823,14654.410575914653,0
26-35,Female,82647.91711342319,,6169.0657827807145,1
18-25,Male,43157.65616558066,631.7311365873888,18792.843886532763,0
46-60,Male,46383.34595262978,668.5232855051045,44007.479043046194,0
36-45,Female,62315.01156625965,741.7177501990323,11862.716197946644,0
36-45,Female,70295.63824275233,713.2548968020673,14825.750545334959,0
36-45,Female,36536.50018364882,712.8813832651367,67136.11376288232,1
18-25,Male,85949.82457441864,,5166.336485155046,0
26-35,Male,62489.67767095437,691.9834060401057,34647.75307325043,0
26-35,Male,25390.89287998776,579.7200967224396,31466.73006780025,0
46-60,Male,37629.24271072453,547.4868016177579,26461.70496983844,0
36-45,Male,46533.86765688397,644.2634922972026,37548.85937576235,1
26-35,Female,57732.24617508529,577.6563850678729,16721.65680214526,0
18-25,Male,153989.45387998232,713.2494175071981,8380.44591203595,1
26-35,Male,67446.2088387662,715.1628367756259,32069.433658077058,1
26-35,Female,39324.93421421452,497.78990108548464,33066.42742244341,0
36-45,Female,66857.27498765399,583.7357968338488,32346.17714383623,0
36-45,Male,50209.32906051957,533.2170662465601,13843.923319682888,0
46-60,Female,70430.31919140703,612.9896578725687,7532.9679191580035,0
26-35,Male,80040.16446797278,686.4140535895059,15569.82154486427,1
26-35,Male,109602.4846728682,630.616952145729,28389.766197594803,0
36-45,Male,59151.47183347413,602.8192607466292,30317.531813898306,0
36-45,Female,135873.59225756183,754.0141221450511,9473.551083787754,1
36-45,Male,94278.77193727391,465.6114261922969,17193.700004585535,1
36-45,Male,42035.939241563385,748.949751481458,4689.012835318779,0
26-35,Male,180760.42828403547,606.4569365475611,29376.78696374853,1
36-45,Female,70509.11397140454,643.7512791909768,7139.178513765624,1
26-35,Male,39436.132675505316,607.8109329823914,25039.360547742883,1
18-25,Male,136824.79607659494,773.4310484431295,5327.068352085748,1
26-35,Male,169208.8098718349,551.5217202555792,30489.35011760407,0
18-25,Male,58893.580161574224,650.9389095777549,17282.818764805364,0
36-45,Female,46545.0001983567,692.1950921487997,7150.330393534808,1
26-35,Female,54929.867890020956,521.1197785691866,23227.335186350036,0
36-45,Male,85593.60605825522,576.4081463643078,8330.765657104848,1
46-60,Male,113428.54152214546,638.1457173201417,24334.34558440024,0
26-35,Male,79637.7627251068,579.06679722525,10729.055630638773,0
26-35,Male,62998.21075372803,584.752658302468,3371.666122353388,0
36-45,Male,126627.61402298692,622.010986953885,6087.951954142449,0
26-35,Female,51204.4521588282,,9467.955144663769,0
18-25,Female,100253.74180229654,622.5825778497484,39916.7461964655,0
26-35,Female,51842.657894473145,736.2740955578357,27471.78905118227,0
26-35,Female,74273.64662338892,570.1793773872516,48976.169882,0
46-60,Female,56569.13048434913,549.8462191621238,50156.739581425754,0
46-60,Female,58225.2220659768,804.1076324576907,8709.758618591843,1
36-45,Male,49578.21196324257,597.363349786759,11489.748846857994,0
46-60,Female,117292.60809820975,545.1270394342272,9614.003961753924,1
46-60,Male,41503.663562865775,510.6356846582536,7807.120772404642,1
26-35,Male,41352.322830111865,736.0082763047151,3061.940770203891,1
46-60,Female,172904.86050364477,622.6956388271952,13203.032612867282,1
36-45,Male,97628.40670189152,629.7032211946881,4776.902128112391,0
46-60,Male,18168.473589031877,637.2638630730688,12999.452169818547,1
46-60,Female,45133.07515346896,731.0354307735824,72592.48242964332,1
26-35,Male,24197.51766891762,635.6376132819264,8888.591885989817,1
26-35,Male,,837.52430230661,15612.375882189697,1
26-35,Female,12465.781217563686,660.7008459243383,27593.03621027326,1
26-35,Female,55910.37331971536,734.9427813566657,16717.862433387156,1
46-60,Female,33827.49087610021,714.4191886323525,16881.731676419724,0
46-60,Male,61694.65815299831,647.084214379357,9997.377154759542,1
18-25,Male,26567.378515386306,603.0423211183629,11097.749510592133,0
36-45,Female,62408.44779884421,676.5571142853242,6198.059773193089,1
26-35,Female,48656.55716415009,690.8078984965819,26287.163183064044,0
26-35,Female,126877.39210046895,604.1931161498778,3316.968938966894,0
26-35,Male,121258.3207118502,663.3071092760524,29052.815326178927,1
26-35,Male,88669.63726339568,748.8963982607677,4346.130952982664,1
46-60,Female,50852.93454627105,815.5958191255743,28856.363492028227,0
26-35,Male,161569.42373888497,718.3495456279537,10066.274721940095,1
36-45,Female,,799.0207749104226,4986.577339477523,0
36-45,Male,29679.7622029184,599.6500631034835,21235.698076346394,1
26-35,Female,57417.7317469657,706.1505801647435,28085.649419605674,0
60+,Female,184798.08109681366,757.0815606865018,9410.0832688726,1
60+,Female,54113.04409389697,578.2933333622403,23777.343178075167,0
26-35,Male,54632.12607738572,611.1527910363993,2147.226748883035,0
26-35,Female,29116.049255752023,789.03238094682,4644.889993557605,1
26-35,Female,96082.72255005031,571.9920915370449,37568.72285987561,0
26-35,Male,96431.49387236882,542.7095973875431,11170.867815130194,1
18-25,Female,88835.14260071696,772.2385258911609,3011.607712310774,0
36-45,Female,43712.51233587412,745.741057998435,7638.12211625808,1
36-45,Female,,684.5696195187015,6382.273252084253,1
18-25,Female,31364.7169091517,646.3431396283338,11698.672055585232,0
26-35,Male,62438.43129282454,,9930.828751814242,1
46-60,Male,34884.44599527498,672.5559099047241,15415.756013767112,1
26-35,Male,33232.77103319885,776.384556592124,12637.541645448706,1
26-35,Female,48443.557752078494,669.0852900913661,39647.82632631074,0
26-35,Female,46883.53901837534,823.3567413797573,18762.93911957429,1
60+,Female,45752.912761224296,578.1646411487816,19266.773076038204,0
26-35,Male,75600.81166504661,648.4255396537385,33932.4037317168,0
36-45,Male,62287.98948733758,620.1553065868868,9788.710390795866,1
36-45,Female,51840.24124931723,563.1886765470134,4868.290098633382,0
26-35,Male,65611.51310324876,637.7533013592275,35086.65927973602,1
36-45,Male,36469.67890658513,683.3863441328351,14893.399370094714,1
26-35,Female,63110.302763160595,691.9384143961624,14935.272352198755,1
36-45,Male,64556.832988653,823.6361743155645,8049.265007079516,1
36-45,Male,28239.488259522343,687.1573975778848,8156.053844644436,1
36-45,Male,98503.45248796706,742.0109442943693,26301.411107831198,1
18-25,Male,38533.49520581774,655.2875397039181,29369.87119278515,0
46-60,Female,62639.722438924604,784.2444480362076,25010.692804744343,1
26-35,Male,107173.66876631403,841.8759428470455,25194.204940018983,1
26-35,Male,95114.65892342367,692.486810478076,21061.95538793559,1
18-25,Male,60910.855819158605,570.5872787638735,14842.028281939525,0
36-45,Female,49948.637106982926,606.0955981778266,11610.861236795301,0
36-45,Male,96158.76959439475,672.554744256413,35180.91686120577,0
18-25,Female,83897.19748887933,686.5198428200516,9907.262010273846,0
36-45,Male,43950.42134471937,705.8740107507498,17961.455344263315,1
26-35,Male,40237.439679690746,686.8158144984033,7021.903412409844,1
36-45,Male,21243.843381518043,650.5587933004751,7883.764289639192,0
26-35,Female,64667.62189508869,599.1041247038297,11059.845942328053,1
36-45,Female,57448.89951062885,682.0910609011383,7022.322611361444,1
26-35,Male,105672.04768107402,798.3989885984525,25292.962156435682,1
46-60,Female,71648.50349674743,731.5942884342204,4544.043796932488,1
26-35,Female,116671.15285328493,692.7763159708959,14463.502679428388,1
26-35,Male,42248.23623690705,732.36535390582,14853.73276772171,1
26-35,Female,105775.60185041312,620.3148776879318,3138.0608905036656,0
46-60,Male,45960.6930123945,609.3387883133344,9387.937913701842,1
46-60,Female,88326.72753631504,590.1771916507214,16392.179337981222,0
26-35,Female,28871.805328656385,639.9770701784449,18825.778278619477,0
36-45,Female,67343.9029353271,616.2395282632735,11345.247731057434,1
